chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.393821906,0.156332985,1430.817452,1992.800735,2971.706934,0.046784368,-148.7286206,131.0607357,13.52413851,28.38300712,5.736217012,15.60736239,0.223168582,10.37850715,0.254655202,15.7123672,5.690896181,1.435997458,-1.432553543,2.369406073,-4.562640859,-0.331791821,-6.938191148,1.180161684,-0.545017809,2.959314215,alternative
0.393728731,0.213079512,1737.618271,2154.662677,3573.412576,0.051514238,-97.46626451,108.8208427,-16.80587593,26.18309357,5.653677785,-0.638229456,10.62205543,12.25815085,-2.138355681,5.115153747,4.533385226,3.755502831,-7.809899424,-1.309012198,-8.126625535,-3.687996556,-10.07183235,-0.435246039,-8.307033919,-6.057598938,alternative
0.402060456,0.202293485,2315.370025,2578.496519,5273.361539,0.104329049,-26.39343476,89.64054742,3.607911742,35.21667778,14.84817555,12.40733819,-11.65952913,-0.768594415,-6.521705297,7.184532631,-1.113630323,-2.166013643,-5.916685726,-4.205152369,-9.378103728,-0.945508449,-4.742623792,8.334629343,-6.651753202,-0.348918442,alternative
0.289640212,0.056710344,1279.541941,1526.543368,2439.097393,0.074062409,-237.9862891,157.2471269,-27.95386606,25.86192127,-3.768502615,8.068927563,-6.850244121,-8.407529511,-4.099647526,-6.138263166,-4.412793999,0.383893155,-2.507148747,-1.43517102,-11.53397906,-7.170279319,-7.11938366,-8.30763214,-6.102571777,-3.488787266,alternative
0.331937193,0.114116982,1420.759971,1980.919812,2936.384487,0.050109438,-173.4670337,136.2654277,6.547293568,23.72243061,15.09132768,15.69999223,-1.887543349,-0.698861684,-5.271462171,0.911108262,-5.967174777,-4.385035293,-2.127381986,5.277750191,-7.360133357,-1.935529067,-4.897207577,3.971950188,-4.017789707,-2.577266291,alternative
0.27354262,0.054028749,1370.31287,1834.882114,2678.585582,0.05778599,-278.7145175,147.5576488,19.74992512,33.11274016,19.42065412,3.648678905,3.155877879,0.764523443,-7.582632723,-3.258299502,-9.226756489,7.188216282,-1.754504742,5.55517328,0.379737294,-4.608121356,0.069806915,-1.12365023,-8.599528827,-8.206819652,alternative
0.26741216,0.147387862,3234.025991,2971.909432,6650.512299,0.162674694,-83.56468668,61.30080253,14.15844792,11.36109634,4.563620593,0.425856884,0.731409661,-1.898405181,5.880107787,-4.551071416,-14.17933202,-8.786329013,-13.43636089,-8.784097113,-19.33929171,2.427047527,-0.9061118,5.230578677,2.038869689,0.063501288,alternative
0.435734367,0.251826018,2368.703508,2465.552178,4909.820118,0.11810855,4.030311321,94.81690643,-16.88062163,26.20315281,16.63997005,4.571247575,3.459944708,3.648157597,0.30507503,1.616601503,-4.192018041,4.555627072,-3.036156734,0.916962289,-5.590452481,-2.722003091,-5.108823772,3.772955214,1.114829461,0.622006461,alternative
0.338969797,0.106965818,1799.185933,2334.526554,3914.921184,0.046773039,-183.4538872,112.872617,11.45658757,24.21890265,25.46479775,15.99738482,-1.193922406,12.60642185,6.140955472,8.895809314,-3.117559333,2.507755524,-3.196587548,1.224438791,-2.966123279,-1.367421132,-13.8868298,-0.158430258,-4.766228284,-6.99976724,alternative
0.353985061,0.326387882,2359.547871,2250.755302,4695.16256,0.11067444,21.15466797,83.73999965,-31.05810623,38.12145295,4.358667601,18.82601729,0.716799211,6.950814712,-2.016495917,8.616162634,0.847703658,8.268328414,1.14402163,3.96110919,-7.501307595,2.145726576,-1.04529363,6.537604901,-1.445585665,2.783227757,alternative
0.298492545,0.134997636,1284.587681,1896.24584,2686.454444,0.046999619,-187.8671855,136.4572894,16.6270808,27.27474739,7.079815763,10.37789013,-9.454816587,-1.291301113,-1.242041346,-2.102394404,-7.370727047,-4.152768177,-9.327960541,-2.008500547,-8.239906182,-4.098771911,-5.677198805,1.865389749,-6.328345966,-1.528429634,alternative
0.427142687,0.17676872,1938.585393,2576.627241,4577.004729,0.056974831,-103.0777789,110.2081205,26.19238776,19.79765631,9.638170091,11.89135775,9.383386064,9.672982407,6.05772563,7.852368554,1.114442045,2.217664487,-2.088844959,0.164975021,-6.54587034,-2.945598776,-3.96835164,2.365959389,2.295648405,4.506927819,alternative
0.432742293,0.305384815,2845.145232,2774.971263,6372.279333,0.144545978,42.93436722,79.63660921,-4.466630815,13.85032223,-0.985651662,10.76815531,-2.741522786,22.81886791,5.594366957,15.07750692,-10.73311035,9.48655441,-11.00986146,-0.401641614,-8.162870345,2.486643463,-7.918089697,7.832201523,-4.110535667,-0.730465059,alternative
0.389406903,0.255695701,1675.107266,1578.941338,3328.028986,0.09039774,-51.72656556,150.0957419,-68.27394938,50.4935992,-22.61366166,17.79912341,-2.562406899,15.91747306,11.74180288,-2.950611434,1.025040472,2.176182364,-1.411198722,-10.26922185,-7.285946542,-3.581641777,-11.5721334,3.537196165,-3.533246344,-5.99199463,alternative
